ID_ENTIDAD,NOMBRE_ENTIDAD,CANTIDAD_DEUDORES,MONTO_TOTAL,MONTO_PREVISIONES,MONTO_SIT_1,MONTO_SIT_2,MONTO_SIT_3,MONTO_SIT_4,MONTO_SIT_5,MONTO_SIT_11
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.,2446498,19438610090.0,17044342055.0,17160408766.0,640249321.0,739893210.0,779122074.0,118760676.0,176043.0
00011,BANCO DE LA NACION ARGENTINA,2369486,27991097007.0,19196262120.0,25833857022.0,840946432.0,687534667.0,445098940.0,123389775.0,60270171.0
00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,1907297,10274372337.0,9796791482.0,8828595237.0,399017058.0,564721995.0,413106326.0,63290524.0,5641197.0
00015,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,624882,6501462586.0,5530349743.0,6158780677.0,140362423.0,141632139.0,57910057.0,2316258.0,461032.0
00016,CITIBANK N.A.,457,1341784746.0,1246176475.0,1263313103.0,65807.0,0.0,0.0,0.0,78405836.0
00017,BANCO BBVA ARGENTINA S.A.,2142638,13834754738.0,13141266430.0,12762621095.0,316928992.0,348833312.0,383806245.0,22242579.0,322515.0
00020,BANCO DE LA PROVINCIA DE CORDOBA S.A.,539269,3169730783.0,2443768347.0,2816595643.0,87420269.0,130596465.0,104079741.0,29936449.0,1102216.0
00027,BANCO SUPERVIELLE S.A.,498735,3975942491.0,3232666441.0,3612108769.0,118062486.0,107603928.0,115035282.0,12659104.0,10472922.0
00029,BANCO DE LA CIUDAD DE BUENOS AIRES,389645,3486370823.0,2926653916.0,3252395309.0,76156383.0,62994866.0,53600695.0,20513428.0,20710142.0
00034,BANCO PATAGONIA S.A.,546819,4431470821.0,4000567696.0,4276520471.0,47176989.0,52069221.0,51142492.0,4561648.0,0.0
00044,BANCO HIPOTECARIO S.A.,255944,1304624205.0,980557589.0,1161552064.0,40095792.0,50200055.0,47367173.0,3135612.0,2273509.0
00045,BANCO DE SAN JUAN S.A.,75801,617213038.0,577045307.0,586523128.0,10710395.0,11063150.0,7427591.0,1283219.0,205555.0
00065,BANCO MUNICIPAL DE ROSARIO,86976,237750975.0,227492241.0,220847271.0,6828771.0,3922838.0,3985700.0,1187418.0,978977.0
00072,BANCO SANTANDER ARGENTINA S.A.,1929780,13332412428.0,10660361976.0,11707465964.0,441633482.0,509307781.0,587275254.0,57588860.0,29141087.0
00083,BANCO DEL CHUBUT S.A.,92668,595566536.0,441855878.0,506229932.0,33019495.0,19831987.0,23655741.0,12829381.0,0.0
00086,BANCO DE SANTA CRUZ S.A.,54672,384601366.0,381335990.0,342364503.0,23104869.0,11464249.0,7076954.0,590791.0,0.0
00093,BANCO DE LA PAMPA SA,144293,685380577.0,628509434.0,627222598.0,16322574.0,24265225.0,11996161.0,1891320.0,3682699.0
00094,BANCO DE CORRIENTES S.A.,131849,524970311.0,495099926.0,458413418.0,28232082.0,14963958.0,17553015.0,5807838.0,0.0
00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,132126,763843435.0,642843970.0,687045361.0,28765505.0,19347043.0,15501821.0,4820451.0,8363254.0
00131,BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00143,BRUBANK S.A.U.,81446,97633817.0,97633817.0,75432363.0,5312547.0,5991685.0,7379472.0,3517750.0,0.0
00147,BIBANK S.A.,126,42067377.0,40930624.0,39581946.0,815230.0,768481.0,841035.0,60685.0,0.0
00165,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION (SUCURSAL BUENOS AIRES)",5,45314184.0,45314184.0,45314184.0,0.0,0.0,0.0,0.0,0.0
00191,BANCO CREDICOOP COOPERATIVO LIMITADO,352066,2461406991.0,2084788484.0,2359596614.0,27835421.0,32597767.0,32832243.0,3471509.0,5073437.0
00198,BANCO DE VALORES S.A.,251,1080047947.0,1079999202.0,1073884943.0,1481.0,324.0,6161199.0,0.0,0.0
00247,BANCO ROELA S.A.,960,53612943.0,48132408.0,52459976.0,215933.0,788364.0,107989.0,88.0,40593.0
00254,BANCO MARIVA S.A.,276,242469417.0,238321009.0,241830755.0,0.0,103961.0,336.0,457730.0,76635.0
00266,BNP PARIBAS,13,22278163.0,22278163.0,22278163.0,0.0,0.0,0.0,0.0,0.0
00268,BANCO PROVINCIA DE TIERRA DEL FUEGO,33927,185573734.0,182553523.0,160849872.0,9617167.0,7028419.0,5117577.0,2960699.0,0.0
00269,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY,110,494685.0,494685.0,492612.0,0.0,1142.0,931.0,0.0,0.0
00277,BANCO SAENZ S.A.,48054,49442456.0,49442456.0,31630017.0,3760495.0,4982819.0,7277932.0,1791193.0,0.0
00281,BANCO MERIDIAN S.A.,3141,13940806.0,10295575.0,13400738.0,382212.0,3372.0,153810.0,674.0,0.0
00285,BANCO MACRO S.A.,1976913,11276616467.0,9797169858.0,10459704652.0,291512934.0,249149428.0,187619924.0,71499869.0,17129660.0
00299,BANCO COMAFI SOCIEDAD ANONIMA,97487,1702798326.0,1467903917.0,1631061682.0,19384368.0,23904016.0,25365493.0,1775883.0,1306884.0
00300,BANCO DE INVERSION Y COMERCIO EXTERIOR S.A.,1847,696285038.0,409762708.0,621470305.0,1160223.0,8068938.0,2414301.0,99395.0,63071876.0
00301,BANCO PIANO S.A.,83810,179119130.0,179119130.0,164472196.0,5901116.0,4016992.0,3342474.0,1386352.0,0.0
00305,BANCO JULIO SOCIEDAD ANONIMA,300,26404287.0,24702180.0,22301161.0,2882721.0,151248.0,1026326.0,42831.0,0.0
00309,BANCO RIOJA SOCIEDAD ANONIMA UNIPERSONAL,55596,140072351.0,127216602.0,93735272.0,17195974.0,7470100.0,15390853.0,5879616.0,400536.0
00310,BANCO DEL SOL S.A.,113092,393629761.0,191063527.0,336939279.0,22445040.0,16309415.0,14736708.0,3199319.0,0.0
00311,NUEVO BANCO DEL CHACO S. A.,220003,604199450.0,559382239.0,516627735.0,24848635.0,22478521.0,31376557.0,5869921.0,2998081.0
00312,BANCO VOII S.A.,34845,53664818.0,53664818.0,48596530.0,2191207.0,1801034.0,1033637.0,42410.0,0.0
00315,BANCO DE FORMOSA S.A.,106225,263560425.0,241939572.0,244682255.0,7797929.0,5151757.0,4411154.0,1517330.0,0.0
00319,BANCO CMF S.A.,536,534228753.0,506586101.0,513465292.0,11949479.0,7185470.0,1585178.0,0.0,43334.0
